"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6M3_DISCONTINUED/H0.M3.M","H6/H6M3_DISCONTINUED/H0.M3@@M2.M","H6/H6M3_DISCONTINUED/H0.M3_N.M","H6/H6M3_DISCONTINUED/H0.M3@@M2_N.M","H6/H6M3_DISCONTINUED/H0.MDTLB.M","H6/H6M3_DISCONTINUED/H0.MDTLT.M","H6/H6M3_DISCONTINUED/H0.MRP.M","H6/H6M3_DISCONTINUED/H0.MEU.M","H6/H6M3_DISCONTINUED/H0.MMFIN.M","H6/H6M3_DISCONTINUED/H0.MDTLB_N.M","H6/H6M3_DISCONTINUED/H0.MDTLT_N.M","H6/H6M3_DISCONTINUED/H0.MRPAB_N.M","H6/H6M3_DISCONTINUED/H0.MRPT_N.M","H6/H6M3_DISCONTINUED/H0.MRP_N.M","H6/H6M3_DISCONTINUED/H0.MEU_N.M","H6/H6M3_DISCONTINUED/H0.MMFIN_N.M"
"Time Period","H0.M3.M","H0.M3@@M2.M","H0.M3_N.M","H0.M3@@M2_N.M","H0.MDTLB.M","H0.MDTLT.M","H0.MRP.M","H0.MEU.M","H0.MMFIN.M","H0.MDTLB_N.M","H0.MDTLT_N.M","H0.MRPAB_N.M","H0.MRPT_N.M","H0.MRP_N.M","H0.MEU_N.M","H0.MMFIN_N.M"
1965-03,452.0,18.8,451.2,19.0,16.6,0.0,0.0,2.2,0.0,16.9,0.0,0.0,0.0,0.0,2.2,0.0
1965-04,454.5,19.0,455.7,19.4,17.0,0.0,0.0,2.1,0.0,17.4,0.0,0.0,0.0,0.0,2.1,0.0
1965-05,456.4,19.3,453.6,19.9,17.3,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0
1965-06,459.9,19.8,458.5,20.1,17.9,0.0,0.0,1.9,0.0,18.2,0.0,0.0,0.0,0.0,1.9,0.0
1965-07,463.3,20.4,462.6,20.5,18.5,0.0,0.0,1.9,0.0,18.6,0.0,0.0,0.0,0.0,1.9,0.0
1965-08,466.8,21.0,464.5,21.2,19.1,0.0,0.0,1.9,0.0,19.4,0.0,0.0,0.0,0.0,1.9,0.0
1965-09,471.1,21.6,469.8,21.3,19.8,0.0,0.0,1.8,0.0,19.5,0.0,0.0,0.0,0.0,1.8,0.0
1965-10,474.9,22.4,475.4,21.7,20.6,0.0,0.0,1.8,0.0,19.9,0.0,0.0,0.0,0.0,1.8,0.0
1965-11,478.3,22.6,478.7,22.0,20.8,0.0,0.0,1.8,0.0,20.2,0.0,0.0,0.0,0.0,1.8,0.0
1965-12,482.1,23.0,485.5,22.4,21.2,0.0,0.0,1.8,0.0,20.6,0.0,0.0,0.0,0.0,1.8,0.0
1966-01,485.1,23.1,490.1,23.0,21.4,0.0,0.0,1.8,0.0,21.2,0.0,0.0,0.0,0.0,1.8,0.0
1966-02,487.8,23.2,487.1,23.4,21.4,0.0,0.0,1.8,0.0,21.6,0.0,0.0,0.0,0.0,1.8,0.0
1966-03,490.8,23.6,489.8,23.9,21.8,0.0,0.0,1.8,0.0,22.1,0.0,0.0,0.0,0.0,1.8,0.0
1966-04,494.0,24.8,495.3,25.2,23.0,0.0,0.0,1.8,0.0,23.4,0.0,0.0,0.0,0.0,1.8,0.0
1966-05,495.4,25.4,492.2,26.1,23.6,0.0,0.0,1.8,0.0,24.3,0.0,0.0,0.0,0.0,1.8,0.0
1966-06,497.1,25.9,495.7,26.1,24.1,0.0,0.0,1.9,0.0,24.2,0.0,0.0,0.0,0.0,1.9,0.0
1966-07,497.8,27.0,497.2,26.9,25.1,0.0,0.0,1.9,0.0,25.0,0.0,0.0,0.0,0.0,1.9,0.0
1966-08,499.6,27.0,497.5,27.4,25.1,0.0,0.0,2.0,0.0,25.4,0.0,0.0,0.0,0.0,2.0,0.0
1966-09,502.3,26.9,501.2,26.6,24.9,0.0,0.0,2.0,0.0,24.6,0.0,0.0,0.0,0.0,2.0,0.0
1966-10,501.4,25.7,502.0,25.1,23.7,0.0,0.0,2.1,0.0,23.1,0.0,0.0,0.0,0.0,2.1,0.0
1966-11,502.0,24.7,502.4,24.3,22.6,0.0,0.0,2.1,0.0,22.2,0.0,0.0,0.0,0.0,2.1,0.0
1966-12,505.4,25.3,508.6,24.9,23.1,0.0,0.0,2.2,0.0,22.8,0.0,0.0,0.0,0.0,2.2,0.0
1967-01,509.1,27.5,513.7,27.3,25.3,0.0,0.0,2.2,0.0,25.1,0.0,0.0,0.0,0.0,2.2,0.0
1967-02,514.5,29.3,513.0,29.5,27.1,0.0,0.0,2.2,0.0,27.3,0.0,0.0,0.0,0.0,2.2,0.0
1967-03,519.9,30.3,518.6,30.5,28.1,0.0,0.0,2.2,0.0,28.3,0.0,0.0,0.0,0.0,2.2,0.0
1967-04,522.6,30.5,523.8,30.9,28.3,0.0,0.0,2.2,0.0,28.7,0.0,0.0,0.0,0.0,2.2,0.0
1967-05,527.7,30.5,524.5,31.2,28.3,0.0,0.0,2.2,0.0,29.0,0.0,0.0,0.0,0.0,2.2,0.0
1967-06,533.1,31.1,532.0,31.1,28.9,0.0,0.0,2.2,0.0,28.9,0.0,0.0,0.0,0.0,2.2,0.0
1967-07,537.7,31.4,537.3,31.1,29.3,0.0,0.0,2.1,0.0,29.0,0.0,0.0,0.0,0.0,2.1,0.0
1967-08,542.5,31.7,540.9,32.3,29.6,0.0,0.0,2.1,0.0,30.2,0.0,0.0,0.0,0.0,2.1,0.0
1967-09,546.8,32.2,546.2,32.0,30.1,0.0,0.0,2.1,0.0,30.0,0.0,0.0,0.0,0.0,2.1,0.0
1967-10,550.2,32.1,550.8,31.6,30.0,0.0,0.0,2.1,0.0,29.5,0.0,0.0,0.0,0.0,2.1,0.0
1967-11,553.9,32.7,554.1,32.5,30.6,0.0,0.0,2.1,0.0,30.4,0.0,0.0,0.0,0.0,2.1,0.0
1967-12,557.9,33.1,560.9,32.9,30.9,0.0,0.0,2.2,0.0,30.7,0.0,0.0,0.0,0.0,2.2,0.0
1968-01,560.4,33.0,564.7,32.8,30.7,0.0,0.0,2.3,0.0,30.6,0.0,0.0,0.0,0.0,2.3,0.0
1968-02,563.6,33.2,561.4,33.3,30.9,0.0,0.0,2.4,0.0,31.0,0.0,0.0,0.0,0.0,2.4,0.0
1968-03,567.0,33.8,565.4,33.9,31.4,0.0,0.0,2.5,0.0,31.4,0.0,0.0,0.0,0.0,2.5,0.0
1968-04,569.2,33.5,570.5,33.7,30.8,0.0,0.0,2.6,0.0,31.1,0.0,0.0,0.0,0.0,2.6,0.0
1968-05,572.3,33.4,569.3,33.8,30.6,0.0,0.0,2.8,0.0,31.0,0.0,0.0,0.0,0.0,2.8,0.0
1968-06,575.9,33.3,575.4,33.1,30.4,0.0,0.0,3.0,0.0,30.2,0.0,0.0,0.0,0.0,3.0,0.0
1968-07,580.6,35.0,580.7,34.5,31.9,0.0,0.0,3.1,0.0,31.4,0.0,0.0,0.0,0.0,3.1,0.0
1968-08,585.6,36.2,584.5,36.9,33.0,0.0,0.0,3.3,0.0,33.6,0.0,0.0,0.0,0.0,3.3,0.0
1968-09,590.6,37.1,590.2,37.1,33.7,0.0,0.0,3.3,0.0,33.8,0.0,0.0,0.0,0.0,3.3,0.0
1968-10,595.8,38.2,596.4,38.0,34.9,0.0,0.0,3.3,0.0,34.7,0.0,0.0,0.0,0.0,3.3,0.0
1968-11,601.7,39.3,601.8,39.3,36.2,0.0,0.0,3.1,0.0,36.2,0.0,0.0,0.0,0.0,3.1,0.0
1968-12,607.2,40.3,610.0,40.4,37.4,0.0,0.0,2.9,0.0,37.5,0.0,0.0,0.0,0.0,2.9,0.0
1969-01,607.9,38.6,612.1,38.6,35.8,0.0,0.0,2.8,0.0,35.8,0.0,0.0,0.0,0.0,2.8,0.0
1969-02,609.1,37.2,606.2,37.1,34.3,0.0,0.0,2.9,0.0,34.3,0.0,0.0,0.0,0.0,2.9,0.0
1969-03,610.8,36.4,609.0,36.1,33.5,0.0,0.0,3.0,0.0,33.2,0.0,0.0,0.0,0.0,3.0,0.0
1969-04,611.5,35.8,613.2,35.8,32.8,0.0,0.0,3.0,0.0,32.8,0.0,0.0,0.0,0.0,3.0,0.0
1969-05,611.6,35.1,608.9,35.4,32.1,0.0,0.0,3.0,0.0,32.4,0.0,0.0,0.0,0.0,3.0,0.0
1969-06,612.1,33.7,612.0,33.3,30.8,0.0,0.0,2.9,0.0,30.4,0.0,0.0,0.0,0.0,2.9,0.0
1969-07,610.1,30.6,610.7,30.1,27.7,0.0,0.0,2.9,0.0,27.2,0.0,0.0,0.0,0.0,2.9,0.0
1969-08,607.7,27.7,606.6,28.2,24.8,0.0,0.0,2.9,0.0,25.3,0.0,0.0,0.0,0.0,2.9,0.0
1969-09,608.5,26.5,608.0,26.6,23.7,0.0,0.0,2.8,0.0,23.9,0.0,0.0,0.0,0.0,2.8,0.0
1969-10,608.9,25.5,609.3,25.6,22.5,0.0,0.3,2.8,0.0,22.6,0.0,0.3,0.0,0.3,2.8,0.0
1969-11,613.5,28.1,613.0,28.2,21.3,0.0,4.2,2.6,0.0,21.4,0.0,4.2,0.0,4.2,2.6,0.0
1969-12,615.9,28.0,618.2,28.1,20.4,0.0,4.9,2.7,0.0,20.5,0.0,4.9,0.0,4.9,2.7,0.0
1970-01,616.1,26.5,618.3,26.3,19.1,0.0,4.4,3.0,0.0,19.6,0.0,3.9,0.0,3.9,2.7,0.0
